gemeindeteilschluessel;gemeindename;gemeindeteilname;strassenname;strassenschluessel
13071001 0077;Alt Schwerin;Alt Schwerin;Achter de Isenbahn;1307100100115
13071001 0077;Alt Schwerin;Alt Schwerin;Am Waldeck;1307100100113
13071001 0077;Alt Schwerin;Alt Schwerin;An den Schaftannen;1307100100105
13071001 0077;Alt Schwerin;Alt Schwerin;Dorfstraße;1307100100102
13071001 0077;Alt Schwerin;Alt Schwerin;Feldstraße;1307100100114
13071001 0077;Alt Schwerin;Alt Schwerin;Hainbuchenweg;1307100100106
13071001 0077;Alt Schwerin;Alt Schwerin;Kastanienallee;1307100100103
13071001 0077;Alt Schwerin;Alt Schwerin;Lindenallee;1307100100104
13071001 0077;Alt Schwerin;Alt Schwerin;Uferweg;1307100100111
13071001 0077;Alt Schwerin;Alt Schwerin;Unter den Pappeln;1307100100110
13071001 1482;Alt Schwerin;Glashütte;Glashütte;1307100100201
13071001 2267;Alt Schwerin;Jürgenshof;Jürgenshof;1307100100302
13071001 2267;Alt Schwerin;Jürgenshof;Malchower Weg;1307100100304
13071001 2267;Alt Schwerin;Jürgenshof;Seeblick;1307100100305
13071001 2267;Alt Schwerin;Jürgenshof;Seestraße;1307100100303
13071001 3265;Alt Schwerin;Mönchbusch;Mönchbusch;1307100100401
13071001 3755;Alt Schwerin;Ortkrug;Fischweg;1307100100602
13071001 5342;Alt Schwerin;Wendorf;Insel Werder;1307100100108
13071001 5342;Alt Schwerin;Wendorf;Wendorf;1307100100107
13071002 0110;Altenhagen;Altenhagen;Dorfstraße;1307100200101
13071002 3603;Altenhagen;Neuenhagen;Hauptstraße;1307100200201
13071002 3879;Altenhagen;Philippshof;Lange Straße;1307100200301
13071003 0115;Altenhof;Altenhof;Am Findling;1307100300110
13071003 0115;Altenhof;Altenhof;Ausbau;1307100300101
13071003 0115;Altenhof;Altenhof;Birkenstraße;1307100300102
13071003 0115;Altenhof;Altenhof;Darzer Weg;1307100300103
13071003 0115;Altenhof;Altenhof;Dorfstraße;1307100300104
13071003 0115;Altenhof;Altenhof;Freyensteiner Chaussee;1307100300105
13071003 0115;Altenhof;Altenhof;Parkstraße;1307100300106
13071003 0115;Altenhof;Altenhof;Plattenweg;1307100300107
13071003 0115;Altenhof;Altenhof;Schäferweg;1307100300108
13071003 0115;Altenhof;Altenhof;Schulstraße;1307100300109
13071003 0950;Altenhof;Darze;Am Wald;1307100300201
13071003 0950;Altenhof;Darze;An der Eldequelle;1307100300202
13071003 0950;Altenhof;Darze;Malchower Chaussee;1307100300203
13071003 0950;Altenhof;Darze;Plauer Chaussee;1307100300204
13071004 0120;Altentreptow, Stadt;Altentreptow;Ahornweg;1307100400518
13071004 0120;Altentreptow, Stadt;Altentreptow;Akazienweg;1307100400517
13071004 0120;Altentreptow, Stadt;Altentreptow;Am Amtshof;1307100400122
13071004 0120;Altentreptow, Stadt;Altentreptow;Am Marktplatz;1307100400207
13071004 0120;Altentreptow, Stadt;Altentreptow;Bahnhofstraße;1307100400407
13071004 0120;Altentreptow, Stadt;Altentreptow;Barkower Straße;1307100400301
13071004 0120;Altentreptow, Stadt;Altentreptow;Brandenburger Straße;1307100400203
13071004 0120;Altentreptow, Stadt;Altentreptow;Brückengasse;1307100400201
13071004 0120;Altentreptow, Stadt;Altentreptow;Brüggenbruch;1307100400115
13071004 0120;Altentreptow, Stadt;Altentreptow;Brunnenstraße;1307100400302
13071004 0120;Altentreptow, Stadt;Altentreptow;Buchar;1307100400601
13071004 0120;Altentreptow, Stadt;Altentreptow;Buchenweg;1307100400521
13071004 0120;Altentreptow, Stadt;Altentreptow;Demminer Str.;1307100400202
13071004 0120;Altentreptow, Stadt;Altentreptow;Demminer Straße;1307100400202
13071004 0120;Altentreptow, Stadt;Altentreptow;Diesterwegstraße;1307100400501
13071004 0120;Altentreptow, Stadt;Altentreptow;Eiskellerberg;1307100400120
13071004 0120;Altentreptow, Stadt;Altentreptow;Eiskellerweg;1307100400102
13071004 0120;Altentreptow, Stadt;Altentreptow;Ernst-Moritz-Arndt-Straße;1307100400401
13071004 0120;Altentreptow, Stadt;Altentreptow;Eschenweg;1307100400520
13071004 0120;Altentreptow, Stadt;Altentreptow;Feldstraße;1307100400403
13071004 0120;Altentreptow, Stadt;Altentreptow;Fichtestraße;1307100400404
13071004 0120;Altentreptow, Stadt;Altentreptow;Friedenstraße;1307100400405
13071004 0120;Altentreptow, Stadt;Altentreptow;Friedrichshof;1307100400513
13071004 0120;Altentreptow, Stadt;Altentreptow;Fritz-Peters-Straße;1307100400104
13071004 0120;Altentreptow, Stadt;Altentreptow;Fritz-Reuter-Str.;1307100400105
13071004 0120;Altentreptow, Stadt;Altentreptow;Fritz-Reuter-Straße;1307100400105
13071004 0120;Altentreptow, Stadt;Altentreptow;Ganzkower Weg;1307100400106
13071004 0120;Altentreptow, Stadt;Altentreptow;Gartenstraße;1307100400303
13071004 0120;Altentreptow, Stadt;Altentreptow;Gewerbehof;1307100400119
13071004 0120;Altentreptow, Stadt;Altentreptow;Grapzower Landweg;1307100400118
13071004 0120;Altentreptow, Stadt;Altentreptow;Grüner Gang;1307100400502
13071004 0120;Altentreptow, Stadt;Altentreptow;Heidbergtrift;1307100400604
13071004 0120;Altentreptow, Stadt;Altentreptow;Holländer Gang;1307100400503
13071004 0120;Altentreptow, Stadt;Altentreptow;Hospitalgasse;1307100400107
13071004 0120;Altentreptow, Stadt;Altentreptow;Hospitalstraße;1307100400101
13071004 0120;Altentreptow, Stadt;Altentreptow;Jahnstraße;1307100400406
13071004 0120;Altentreptow, Stadt;Altentreptow;Karl-Havermann-Straße;1307100400108
13071004 0120;Altentreptow, Stadt;Altentreptow;Karl-Liebknecht-Straße;1307100400305
13071004 0120;Altentreptow, Stadt;Altentreptow;Karlsplatz;1307100400306
13071004 0120;Altentreptow, Stadt;Altentreptow;Kirchengasse;1307100400109
13071004 0120;Altentreptow, Stadt;Altentreptow;Klatzow;1307100400602
13071004 0120;Altentreptow, Stadt;Altentreptow;Klosterberg;1307100400307
13071004 0120;Altentreptow, Stadt;Altentreptow;Loickenzin;1307100400603
13071004 0120;Altentreptow, Stadt;Altentreptow;Loickenziner Chaussee;1307100400309
13071004 0120;Altentreptow, Stadt;Altentreptow;Loickenziner Straße;1307100400308
13071004 0120;Altentreptow, Stadt;Altentreptow;Mauerstr.;1307100400205
13071004 0120;Altentreptow, Stadt;Altentreptow;Mauerstraße;1307100400205
13071004 0120;Altentreptow, Stadt;Altentreptow;Mittelstraße;1307100400206
13071004 0120;Altentreptow, Stadt;Altentreptow;Mühlengasse;1307100400110
13071004 0120;Altentreptow, Stadt;Altentreptow;Mühlenstraße;1307100400111
13071004 0120;Altentreptow, Stadt;Altentreptow;Neddeminer Straße;1307100400112
13071004 0120;Altentreptow, Stadt;Altentreptow;Nordkreuzung;1307100400310
13071004 0120;Altentreptow, Stadt;Altentreptow;Oberbaustraße;1307100400103
13071004 0120;Altentreptow, Stadt;Altentreptow;Onkel-Bräsig-Straße;1307100400113
13071004 0120;Altentreptow, Stadt;Altentreptow;Pestalozzistraße;1307100400504
13071004 0120;Altentreptow, Stadt;Altentreptow;Poststraße;1307100400402
13071004 0120;Altentreptow, Stadt;Altentreptow;Rathausstraße;1307100400208
13071004 0120;Altentreptow, Stadt;Altentreptow;Reitbahn;1307100400209
13071004 0120;Altentreptow, Stadt;Altentreptow;Reutershof;1307100400116
13071004 0120;Altentreptow, Stadt;Altentreptow;Rosemarsow;1307100400701
13071004 0120;Altentreptow, Stadt;Altentreptow;Rotdornweg;1307100400519
13071004 0120;Altentreptow, Stadt;Altentreptow;Rudolf-Breitscheid-Straße;1307100400505
13071004 0120;Altentreptow, Stadt;Altentreptow;Schulstraße;1307100400311
13071004 0120;Altentreptow, Stadt;Altentreptow;Stadtförsterei;1307100400512
13071004 0120;Altentreptow, Stadt;Altentreptow;St. Georg;1307100400304
