gemeinde;ort_id;ort
Klein Vielen;509;Adamsdorf (Klein Vielen)
Fünfseen;385;Adamshoffnung (Fünfseen)
Röckwitz;132;Adamshof (Röckwitz)
Wesenberg, Stadt;886;Ahrensberg (Wesenberg, Stadt)
Dargun, Stadt;292;Altbauhof (Dargun, Stadt)
Altenhagen;136;Altenhagen (Altenhagen)
Altenhof;138;Altenhof (Altenhof)
Waren (Müritz), Stadt;866;Alt Falkenhagen (Waren (Müritz), Stadt)
Jabel;492;Alt Gaarz (Jabel)
Lärz;546;Alt Gaarz (Lärz)
Lindetal;557;Alt Käbelich (Lindetal)
Kentzlin;2;Alt Kentzlin (Kentzlin)
Malchin, Stadt;576;Alt Panstorf (Malchin, Stadt)
Penzlin, Stadt;252;Alt Rehse (Penzlin, Stadt)
Peenehagen;712;Alt Schönau (Peenehagen)
Alt Schwerin;149;Alt Schwerin (Alt Schwerin)
Rechlin;731;Amalienhof (Rechlin)
Ankershagen;153;Ankershagen (Ankershagen)
Nossendorf;4;Annenhof (Nossendorf)
Melz;86;Augusthof (Melz)
Penzlin, Stadt;259;Ave (Penzlin, Stadt)
Kummerow;545;Axelshof (Kummerow)
Mirow, Stadt;38;Babke (Mirow, Stadt)
Groß Miltzow;436;Badresch (Groß Miltzow)
Stuer;83;Bad Stuer (Stuer)
Lindetal;562;Ballin (Lindetal)
Holldorf;485;Ballwitz (Holldorf)
Burg Stargard, Stadt;199;Bargensdorf (Burg Stargard, Stadt)
Pripsleben;728;Barkow (Pripsleben)
Dargun, Stadt;228;Barlin (Dargun, Stadt)
Bartow;156;Bartow (Bartow)
Basedow;157;Basedow (Basedow)
Basedow;17;Basedow Höhe (Basedow)
Stavenhagen, Reuterstadt, Sta*;103;Basepohl Am See (Stavenhagen, Reuterstadt, Sta*)
Stavenhagen, Reuterstadt, Sta*;813;Basepohl (Stavenhagen, Reuterstadt, Sta*)
Datzetal;302;Bassow (Datzetal)
Möllenhagen;95;Bauernberg (Möllenhagen)
Grabowhöfe;424;Baumgarten (Grabowhöfe)
Groß Plasten;109;Beckenkrug (Groß Plasten)
Warrenzin;876;Beestland (Warrenzin)
Beggerow;161;Beggerow (Beggerow)
Eldetal;416;Below (Eldetal)
Wesenberg, Stadt;49;Below (Wesenberg, Stadt)
Carpin;215;Bergfeld (Carpin)
Beseritz;163;Beseritz (Beseritz)
Malchow, Stadt;26;Biestorf (Malchow, Stadt)
Brunn;284;Birkhof (Brunn)
Breest;119;Bittersberg (Breest)
Mirow, Stadt;599;Blankenfelde (Mirow, Stadt)
Mirow, Stadt;590;Blankenförde (Mirow, Stadt)
Blankenhof;165;Blankenhof (Blankenhof)
Blankensee;167;Blankensee (Blankensee)
Klocksin;115;Blücherhof (Klocksin)
Woldegk, Stadt;917;Blücher (Woldegk, Stadt)
Blumenholz;60;Blumenhagen (Blumenholz)
Blumenholz;173;Blumenholz (Blumenholz)
Ankershagen;150;Bocksee (Ankershagen)
Rechlin;734;Boek (Rechlin)
Bollewick;175;Bollewick (Bollewick)
Kriesow;538;Borgfeld (Kriesow)
Ankershagen;97;Bornhof (Ankershagen)
Groß Nemerow;445;Bornmühle (Groß Nemerow)
Borrentin;178;Borrentin (Borrentin)
Bredenfelde;186;Bredenfelde (Bredenfelde)
Woldegk, Stadt;933;Bredenfelde (Woldegk, Stadt)
Breesen;187;Breesen (Breesen)
Breest;190;Breest (Breest)
Friedland, Stadt;367;Bresewitz (Friedland, Stadt)
Briggow;192;Briggow (Briggow)
Friedland, Stadt;369;Brohm (Friedland, Stadt)
Wokuhl-Dabelow;897;Brückentin (Wokuhl-Dabelow)
Dargun, Stadt;226;Brudersdorf (Dargun, Stadt)
Brunn;194;Brunn (Brunn)
Klein Vielen;512;Brustorf (Klein Vielen)
Altentreptow, Stadt;141;Buchar (Altentreptow, Stadt)
Trollenhagen;826;Buchhof (Trollenhagen)
Buchholz;198;Buchholz (Buchholz)
Mölln;100;Buchholz (Mölln)
Burg Stargard, Stadt;200;Burg Stargard (Burg Stargard, Stadt)
Burow;209;Burow (Burow)
Schwarz;782;Buschhof (Schwarz)
Beggerow;158;Buschmühl (Beggerow)
Bütow;212;Bütow (Bütow)
Burg Stargard, Stadt;201;Cammin (Burg Stargard, Stadt)
Wustrow;948;Canow (Wustrow)
Feldberger Seenlandschaft;331;Cantnitz (Feldberger Seenlandschaft)
Woldegk, Stadt;922;Canzow (Woldegk, Stadt)
Woldegk, Stadt;909;Carlslust (Woldegk, Stadt)
Zettemin;950;Carlsruhe (Zettemin)
Peenehagen;713;Carlsruh (Peenehagen)
Penzlin, Stadt;268;Carlstein (Penzlin, Stadt)
Groß Plasten;843;Carolinenhof (Groß Plasten)
Wokuhl-Dabelow;71;Carolinenhof (Wokuhl-Dabelow)
Woldegk, Stadt;1028;Carolinenhof (Woldegk, Stadt)
Carpin;216;Carpin (Carpin)
Feldberger Seenlandschaft;349;Carwitz (Feldberger Seenlandschaft)
Schönbeck;126;Charlottenhof (Schönbeck)
Blankenhof;164;Chemnitz (Blankenhof)
Gielow;397;Christinenhof (Gielow)
Kittendorf;505;Clausdorf (Kittendorf)
Cölpin;220;Cölpin (Cölpin)
Wokuhl-Dabelow;896;Comthurey (Wokuhl-Dabelow)
Feldberger Seenlandschaft;345;Conow (Feldberger Seenlandschaft)
Friedland, Stadt;368;Cosa (Friedland, Stadt)
Hohen Wangelin;475;Cramon (Hohen Wangelin)
Wokuhl-Dabelow;898;Dabelow (Wokuhl-Dabelow)
Brunn;195;Dahlen (Brunn)
Kratzeburg;76;Dalmsdorf (Kratzeburg)
Bütow;213;Dambeck (Bütow)
Kratzeburg;75;Dambeck (Kratzeburg)
Jabel;496;Damerow (Jabel)
Kargow;117;Damerow (Kargow)
Fincken;361;Dammwolde (Fincken)
Dargun, Stadt;227;Darbein (Dargun, Stadt)
Altenhof;139;Darze (Altenhof)
Faulenrost;327;Demzin (Faulenrost)
Demmin, Hansestadt;311;Deven  (Demmin, Hansestadt)
Groß Plasten;449;Deven (Groß Plasten)
Lindetal;563;Dewitz (Lindetal)
Mirow, Stadt;605;Diemitz (Mirow, Stadt)
Friedland, Stadt;366;Dishley (Friedland, Stadt)
Feldberger Seenlandschaft;337;Dolgen (Feldberger Seenlandschaft)
Dargun, Stadt;232;Dörgelin (Dargun, Stadt)
Utzedel;8;Dorotheenhof (Utzedel)
Neustrelitz, Stadt;679;Drewin (Neustrelitz, Stadt)
Nossentiner Hütte;704;Drewitz (Nossentiner Hütte)
Demmin, Hansestadt;310;Drönnewitz (Demmin, Hansestadt)
Wustrow;945;Drosedow (Wustrow)
Malchin, Stadt;322;Duckow (Malchin, Stadt)
Woldegk, Stadt;913;Düppel (Woldegk, Stadt)
Godendorf;77;Düsterförde (Godendorf)
Blumenholz;61;Ehrenhof (Blumenholz)
Friedland, Stadt;374;Eichhorst (Friedland, Stadt)
Klink;116;Eldenburg-Süd (Klink)
Waren (Müritz), Stadt;872;Eldenburg (Waren (Müritz), Stadt)
Waren (Müritz), Stadt;873;Eldenholz (Waren (Müritz), Stadt)
Bütow;93;Erlenkamp (Bütow)
Siedenbrünzow;791;Eugenienberg (Siedenbrünzow)
Eldetal;87;Evchensruh (Eldetal)
Kriesow;535;Fahrenholz (Kriesow)
Faulenrost;325;Faulenrost (Faulenrost)
Kargow;239;Federow (Kargow)
Feldberger Seenlandschaft;339;Feldberg (Feldberger Seenlandschaft)
Fincken;362;Fichtental (Fincken)
Fincken;359;Fincken (Fincken)
Möllenbeck;607;Flatow (Möllenbeck)
Mirow, Stadt;603;Fleether Mühle (Mirow, Stadt)
